Movie Name,Rating,Action,Comedy,Drama,Horror,Science Fiction,Mystery,Romance,Music,Animation,Adventure,Documentary,Family,Crime,Fantasy,History,Western
Citizen Nawi,7.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chichi no Ijô na Aijô,8.3,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
Surditia,7.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Blitz: London's Longest Night,7.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Business Before Honesty,8.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudis in America,8.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Franklin and the Tooth Fairy/Franklin Takes the Blame,6.6,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
Wear,5.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Migrante,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La trahison,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidden Hero,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach Cello Suite #4: Sarabande,7.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Standing on Sacred Ground: Profit and Loss,8.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Outside Paradise,9.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"Nowhere, Nobody",4.9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
A Figure to Chase After,8.3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"One Nation, Overweight",8.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
How to Get European Men,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Hangover,7.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Baby Bible Bashers,6.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clean Sweep,7.5,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Chelworth,7.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The 9:04 from Pemberton,6.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nos reimos de la migra (destrampados y mojados),6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kan Kan Men Bhagwan,5.8,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Which Way Home,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La mujer del diablo,4.8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Polizeirevier 21,9.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stay Close,6.9,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
La gotera,8.6,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Piccolo's Return,8.1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
Episode #2.9,9.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Hearts in Atlantis,6.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Round 6,7.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Itsumademo dôbutsuen/Ame no dôbutsuen,8.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Self Portrait,6.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Point of No Return,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So's Your Antenna,5.7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9732,8.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anger Management,7.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Teddy a horreur de la fumée,4.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode #9.91,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Glitter in Their Eyes,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Wild Hearts Can't Be Broken,7.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Pingu and the Packing Material,7.6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Australia 2 - Queensland,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jheri's Kids,7.2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lockup Raw: The Killer Next Door,6.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eyes of the Werewolf,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Best Laid Plans,8.3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Dummy Dancing,7.9,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"And So, My Children",8.1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Miss Suzuna of the Trainers' School!,6.9,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0
Guitar Center Sessions,8.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"A Fine, Windy Day",5.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thor's Slammer,7.4,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0
O Regresso de Paulina,9.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tactical Unit - The Code,6.2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Cinta dan noda,4.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FWA Vendetta 2003,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food and Magic,5.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Krysinyy ugol,5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children of Sorrow,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Plank,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brahmin Bulls,6.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard the Second,4.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Day 28,5.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Elisa McNabney,8.1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Toscane,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West End,6.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Milk,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Youth Akechi's Splendid Sword Skill: File 1,7.8,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
Atentat: Osinnie vbyvstvo u Munkheni,7.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Dream Merchants,5.3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
The Fantastic Frerps,7.0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0
The Power Strikers,8.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Little Shop of Whores,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Mad Monster of Muni-Mula,5.2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
El caffinato,8.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Confused/The Molting Fairy,6.4,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Xie zheng,6.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Listless Fever,6.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
First Training Camp and First Public Bath,8.9,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Jenny Jones,3.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overland Express Arriving at Helena, Mont.",3.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tou emporikou,7.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cheeks of Evil/Reap and Weep,7.4,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0
A Fork in the Road,5.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Italian Dinner,6.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Takhir i Zukhra,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
La canaglia di Parigi,5.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aramiza kan girdi,5.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Wizard School: Part 2,7.1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Come and Get It,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alla fine della notte,5.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dritter Teil,7.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Miracle,8.0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Keep Out,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Field of Schemes 4,5.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Como Pedro por su casa,7.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journey to Numberland,8.9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Halloween Special,7.3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Old Kai's Weapon,7.6,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
Five Love Stories,6.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Deep Water,5.5,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
Jonah Jones,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Look at Monaco,6.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Four-Star Spectacular!,6.2,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0
The Vivero Letter,4.4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Sound of Vision,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Evil Dead Trap 2,5.4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Playing Dead,7.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Bragging Rights 2010 Fallout,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monsters & Maniacs,5.4,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Winnie the Pooh Spookable Pooh,7.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Shakunetsu no Bôsou Tokkyû! Dai ma dôshi ga nokoshita ma dôgu?,7.6,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
Hunger: Longing for Love,6.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Family Scrapbook II,5.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Panzer Dragoon,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A rátóti csikótojás,8.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
And the Pop-Up Sale,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The White Fang,7.2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
"Educating Bigmouth/Brainy Smurf, Friend to All the Animals",6.8,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Sexual Kung Fu in Hong Kong,5.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Duggars' Big Family Album,4.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Petlya Oriona,4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Seahorse Seashell Party,6.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
McQueen for a Day,7.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Der große Bellheim,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Re-Entry: Grey Zone,5.9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Brain Damage,7.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Quarks & Co.,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24 Nights,6.3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Prophet,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mansfield Path,7.4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Margina,7.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stan,7.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
America's Tallest Baby,9.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bet,6.2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Standing Up,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
La vita facile,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode #4.42,4.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Call of the Wild,6.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yorktown Memorial Hospital,6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Booger Nights,7.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Videocracy,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Drain,5.8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
The Well,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Alaloumia,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Seven,7.7,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Vortech: Undercover Conversion Squad,6.9,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
"The Hellish Rikuum! Keep Me Entertained, Vegeta-chan",7.8,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
How TV Changed Britain,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Z mého zivota,6.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Toote Khilone,6.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Jackson: HIStory on Film - Volume II,8.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Discoveries of a Marionette,5.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Chris Rock: Bring the Pain,8.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mean Guns,5.4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
What Maisie Knew,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Petit vampire,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Diwan,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Las Cotuchas, empresarias",8.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Prologue (Abhaas),8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tramway Ride Through the Streets of Norwich,4.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Elf Sparkle Meets Christmas the Horse,7.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Love Times Three,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Best Man,8.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
You Suck,9.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Most Beautiful Breasts in the World,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Host Whisperer,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audrey the Trainwreck,7.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Apricot,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Horror Movie Daycare,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Book in the Library,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fatherland,7.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Turn of the Screw,5.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Guilty as Sin,5.7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Rohanj velem!,6.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kukuruzas maja,7.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Three Musketeers in Boots,5.8,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Da Vinci,8.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Trasharella Ultra Vixen,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
My Wife Is an Actress,6.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Handicap,8.6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Une nounou pas comme les autres,5.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bravo Profiles,6.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Episode #1.5372,8.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The September Issue,7.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Wetten, dass..? aus Hannover",6.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brother's Keeper,7.5,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
Sailor Moon,7.7,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Goku Gains Speed,7.8,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
You've Been Warned,7.0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Frozen in Fear,7.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Whales: An Unforgettable Journey,7.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Les curieux 2ème partie,7.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Tropical Tease,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Art: Olly & Suzi,6.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Run, Jamie, Run",7.6,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
The Oranges,5.8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Science of Obesity,7.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Písnickár,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pagari (Mohammad Abdullah),8.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Opus Dei - Una cruzada silenciosa,7.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Matura - czesc 3,7.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacemaker,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Rangers DinoThunder,6.9,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
Palace of Stains,5.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Darkroom,5.9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Und Nelson spielt,6.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Last Vegas,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
License to Scoot/The Old Duck and the Sea,7.8,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0
Episode #1.3,8.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Joie,5.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
American Heroes 2,6.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
High Rise,4.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All the World's a Stage,7.8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Episode #2.10,8.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deadliest Weapons,7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Shopping Mall Jihad,3.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Dark Room,9.4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Glückliche Zeit in Travemünde,8.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pushing the Limits,8.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonic R,5.3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Metallica Through the Never,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sioux City,6.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lost & Found,7.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ProGamer,6.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Cold Hard Toenails/Attack of the Blobs,7.5,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
Notwendige Lehrjahre,5.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Star Stories,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's Pretend,8.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Le sphinx,6.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
American Dreamer: The High Adventures of a Card-Counting Low Roller,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode #2.6,8.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Zielscheibe,6.8,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
Pistols,7.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mammy Swings,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rencontre avec le docteur Freud,6.4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Franky ikka to Iceberg san!,7.6,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
Santa,6.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Dvenadtsataya noch,7.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Geld,5.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Episode #2.7,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacked Up,5.8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Rocket Squad/By Word of Mouse/West of the Pesos,7.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Der Fahrgast und das Mädchen,6.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
White Chicks,5.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Private Lessons II,3.8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
